Short_Description_ru,Short_Description,Water_In_Grams,Energy_In_Kilogram_Calorie,Protein_In_Grams,Lipid_Tot_In_Grams,Ash_In_Grams,Carbohydrate_In_Grams,Fiber_TD_In_Grams,Sugar_Tot_In_Grams,Calcium_In_Miligrams,Iron_In_Miligrams,Magnesium_In_Miligrams,Phosphorus_In_Miligrams,Potassium_In_Miligrams,Sodium_In_Miligrams,Zinc_In_Miligrams,Copper_In_Miligrams,Manganese_In_Miligrams,Selenium_In_Micrograms,Vit_C_In_Miligrams,Thiamin_In_Miligrams,Riboflavin_In_Miligrams,Niacin_In_Miligrams,Panto_Acid_In_Miligrams,Vit_B6_In_Miligrams,Folate_Tot_In_Micrograms,Folic_Acid_In_Micrograms,Food_Folate_In_Micrograms,Folate_DFE_In_Micrograms,Choline_Tot_In_Miligrams,Vit_B12_In_Micrograms,Vit_A_In_International_Unit,Vit_A_In_Retinol_Activity_Equivalents,Retinol_In_Micrograms,Alpha_Carot_In_Micrograms,Beta_Carot_In_Micrograms,Beta_Crypt_In_Micrograms,Lycopene_In_Micrograms,Lut_And_Zea_In_Micrograms,Vit_E_In_Miligrams,Vit_D_In_Micrograms,Vit_D_In_International_Unit,Vit_K_In_Micrograms,FA_Sat_In_Grams,FA_Mono_In_Grams,FA_Poly_In_Grams,Cholesterol_In_Miligrams,Gram_Weight_1,Gram_Weight_Descritpion_1,Gram_Weight_2,Gram_Weight_Description_2,Refuse_Percent,Desk3,cluster
кукурузная мука синяя (навахо),"cornmeal,blue (navajo)",5.7,398,10.4,5.44,1.54,76.93,8.7,1.81,5.0,2.91,133.0,354.0,393.0,7.0,2.91,0.218,0.758,11.8,0.0,0.285,0.107,2.02,0.353,0.593,58.0,0.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.73,0.0,0.0,0.0,0.8859999999999999,1.679,2.465,0.0,0.0,0,0.0,0,0.0,кукурузная мука,cluster 5
кукурузная мука,cornmeal,10.26,362,8.12,3.59,1.13,76.89,7.3,0.64,6.0,3.45,127.0,241.0,287.0,35.0,1.82,0.193,0.498,15.5,0.0,0.385,0.201,3.632,0.425,0.304,25.0,0.0,25.0,25.0,21.6,0.0,214.0,11.0,0.0,63.0,97.0,0.0,0.0,1355.0,0.42,0.0,0.0,0.3,0.505,0.948,1.638,0.0,122.0,1 cup,0.0,0,0.0,кукурузная мука,cluster 5
кукурузная мука белая (навахо),"cornmeal,white (navajo)",5.42,398,10.99,5.04,1.4,77.14,10.4,1.46,11.0,3.79,125.0,280.0,443.0,4.0,3.24,0.219,0.6459999999999999,0.0,0.0,0.31,0.13699999999999998,2.8,2.49,0.583,32.0,0.0,32.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,0.4,0.853,1.5319999999999998,2.0780000000000003,0.0,0.0,0,0.0,0,0.0,кукурузная мука,cluster 5
кукурузный крахмал,cornstarch,8.32,381,0.26,0.05,0.09,91.27,0.9,0.0,2.0,0.47,3.0,13.0,3.0,9.0,0.06,0.05,0.053,2.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009000000000000001,0.016,0.025,0.0,128.0,1 cup,0.0,0,0.0,кукурузный крахмал,cluster 5
"хлеб,кукурузовый хлеб,сухая смесь,unenr (включая смесь для кукурузных маффин)","bread,cornbread,dry mix,unenr (incl corn muffin mix)",7.8,418,7.0,12.2,3.6,69.5,6.5,0.0,57.0,0.59,24.0,489.0,113.0,1111.0,0.57,0.085,0.315,0.0,0.1,0.046,0.02,0.937,0.48,0.128,11.0,0.0,11.0,11.0,0.0,0.09,115.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.091,6.7189999999999985,1.682,2.0,28.35,1 oz,241.0,"1 package,  (8.5 oz)",0.0,кукурузный хлеб,cluster 26
"хлеб,кукурузовый,приготовление по рецепту,сделано с молоком (2%)","bread,cornbread,prep from recipe,made w/lofat (2%) milk",39.1,266,6.7,7.1,3.6,43.5,0.0,0.0,249.0,2.5,25.0,169.0,147.0,658.0,0.6,0.051,0.118,10.1,0.3,0.29100000000000004,0.294,2.254,0.339,0.113,77.0,58.0,19.0,118.0,0.0,0.15,277.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.555,1.83,3.2060000000000004,40.0,28.35,1 oz,65.0,1 piece,0.0,кукурузный хлеб,cluster 26
хлеб красный-пшеничный,"bread,cracked-wheat",35.8,260,8.7,3.9,2.1,49.5,5.5,0.0,43.0,2.81,52.0,153.0,177.0,538.0,1.24,0.222,1.371,25.3,0.0,0.358,0.24,3.671,0.512,0.304,61.0,22.0,39.0,76.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.916,1.902,0.682,0.0,28.35,1 oz,3.2,1 cubic inch,0.0,кукурузный хлеб,cluster 26
"хлеб, кукурузный хлеб, сухая смесь, подготовка с 2% молока, 80% маргарина и яйца","bread,cornbread,dry mix,prep w/ 2% milk,80% margarine,& eggs",27.11,330,6.59,9.58,2.25,54.46,2.3,16.05,135.0,1.85,17.0,391.0,133.0,599.0,0.67,0.073,0.222,8.7,0.1,0.19,0.175,2.004,0.579,0.085,55.0,44.0,11.0,86.0,58.7,0.23,168.0,35.0,31.0,3.0,26.0,21.0,0.0,550.0,0.51,0.0,0.0,3.7,3.732,3.494,1.963,57.0,51.0,1 muffin,60.0,1 piece,0.0,кукурузный хлеб,cluster 26
"хлеб,кукурузный хлеб,сухая смесь,enr (включая смесь для кукурузных маффин)","bread,cornbread,dry mix,enr (incl corn muffin mix)",7.8,418,7.0,12.2,3.6,69.5,6.5,20.34,57.0,2.5,24.0,489.0,113.0,817.0,0.57,0.085,0.315,5.6,0.1,0.4270000000000001,0.272,3.342,0.48,0.128,93.0,82.0,11.0,150.0,7.1,0.09,115.0,19.0,16.0,18.0,28.0,0.0,0.0,391.0,0.16,0.0,0.0,5.0,3.091,6.7189999999999985,1.682,2.0,28.35,1 oz,241.0,"1 package,  (8.5 oz)",0.0,кукурузный хлеб,cluster 26
"начинка для хлеба,кукурузный хлеб,сухая смесь,подготовка","bread stuffing,cornbread,dry mix,prep",64.9,179,2.9,8.8,1.5,21.9,2.9,0.0,26.0,0.94,13.0,34.0,62.0,526.0,0.23,0.069,0.114,30.7,0.8,0.117,0.092,1.247,0.06,0.038,97.0,89.0,8.0,159.0,24.4,0.01,340.0,78.0,73.0,0.0,58.0,0.0,0.0,0.0,0.85,0.0,0.0,8.8,1.755,3.856,2.7060000000000004,0.0,28.35,1 oz,100.0,.5 cup,0.0,кукурузный хлеб,cluster 26
"хлебная начинка,кукурузный хлеб,сухая смесь","bread stuffing,cornbread,dry mix",4.6,389,10.0,4.2,4.4,76.7,14.3,13.16,78.0,3.25,44.0,113.0,204.0,1429.0,0.75,0.228,0.529,29.6,3.5,0.509,0.348,4.873,0.284,0.146,175.0,133.0,42.0,269.0,0.0,0.01,157.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.922,1.662,1.073,0.0,28.35,1 oz,170.0,"1 package,  (6 oz)",0.0,кукурузный хлеб,cluster 26
"кумкаты, сырье","kumquats,raw",80.85,71,1.88,0.86,0.52,15.9,6.5,9.36,62.0,0.86,20.0,19.0,186.0,10.0,0.17,0.095,0.135,0.0,43.9,0.037000000000000005,0.09,0.429,0.208,0.036000000000000004,17.0,0.0,17.0,17.0,8.4,0.0,290.0,15.0,0.0,155.0,0.0,193.0,0.0,129.0,0.15,0.0,0.0,0.0,0.103,0.154,0.171,0.0,19.0,"1 fruit, without refuse",0.0,0,7.0,кумкват,cluster 25
кумкаты,kumquats,80.85,71,1.88,0.86,0.52,15.9,6.5,9.36,62.0,0.86,20.0,19.0,186.0,10.0,0.17,0.095,0.135,0.0,43.9,0.037000000000000005,0.09,0.429,0.208,0.036000000000000004,17.0,0.0,17.0,17.0,8.4,0.0,290.0,15.0,0.0,155.0,0.0,193.0,0.0,129.0,0.15,0.0,0.0,0.0,0.103,0.154,0.171,0.0,19.0,"1 fruit, without refuse",0.0,0,7.0,кумкват,cluster 25
кунжутная мука,sesame flour,7.1,333,50.14,1.75,5.5,35.51,0.0,0.0,149.0,14.22,338.0,757.0,397.0,39.0,10.0,1.425,1.396,0.0,0.0,2.516,0.269,12.533,2.745,0.142,29.0,0.0,29.0,29.0,0.0,0.0,64.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.201,0.5429999999999999,0.63,0.0,28.35,1 oz,0.0,0,0.0,кунжутная мука,cluster 5
кунжутная мука с высокой жирностью,"sesame flour,high-fat",0.9,526,30.78,37.1,4.6,26.62,0.0,0.0,159.0,15.17,361.0,807.0,423.0,41.0,10.67,1.52,1.489,0.0,0.0,2.684,0.28600000000000003,13.369000000000002,2.928,0.152,31.0,0.0,31.0,31.0,0.0,0.0,69.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1960000000000015,14.01,16.261,0.0,28.35,1 oz,0.0,0,0.0,кунжутная мука,cluster 5
"кунжутная мука, нежирная","sesame flour,low-fat",7.1,333,50.14,1.75,5.5,35.51,0.0,0.0,149.0,14.22,338.0,757.0,397.0,39.0,10.0,1.425,1.396,0.0,0.0,2.516,0.269,12.533,2.745,0.142,29.0,0.0,29.0,29.0,0.0,0.0,64.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.201,0.5429999999999999,0.63,0.0,28.35,1 oz,0.0,0,0.0,кунжутная мука,cluster 5
"кунжутное масло, тахини, из сырья и каменного молотого krnls","sesame butter,tahini,from raw&stone ground krnls",3.0,570,17.81,48.0,5.0,26.19,9.3,0.0,420.0,2.51,96.0,752.0,414.0,74.0,4.64,1.618,1.457,0.0,0.0,1.283,0.51,5.925,0.6940000000000001,0.149,98.0,0.0,98.0,98.0,0.0,0.0,67.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.722,18.127,21.039,0.0,15.0,1 tbsp,28.35,1 oz,0.0,кунжутное масло,cluster 6
"кунжутное масло, тахини, от rstd&tstd krnls (наиболее распространенный тип)","sesame butter,tahini,from rstd&tstd krnls (most common type)",3.05,595,17.0,53.76,5.0,21.19,9.3,0.49,426.0,8.95,95.0,732.0,414.0,115.0,4.62,1.61,1.456,34.4,0.0,1.22,0.473,5.45,0.693,0.149,98.0,0.0,98.0,98.0,25.8,0.0,67.0,3.0,0.0,0.0,40.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,7.529,20.302,23.564,0.0,15.0,1 tbsp,28.35,1 oz,0.0,кунжутное масло,cluster 6
"кунжутное масло, тахини, из необжаренных krnls","sesame butter,tahini,from unroasted krnls",3.0,607,17.95,56.44,4.73,17.89,9.3,0.0,141.0,6.35,353.0,790.0,459.0,1.0,10.45,1.4880000000000002,1.457,0.0,0.0,1.587,0.12,5.644,0.6940000000000001,0.149,98.0,0.0,98.0,98.0,0.0,0.0,67.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.904,21.313,24.737,0.0,14.0,1 tbsp,28.35,1 oz,0.0,кунжутное масло,cluster 6
"кунжутное масло, тахини, krnls unspec","sesame butter,tahini,krnls unspec",3.0,592,17.4,53.01,5.09,21.5,4.7,0.0,141.0,4.42,95.0,790.0,459.0,35.0,4.62,1.61,0.0,34.4,4.2,1.59,0.12,5.64,0.0,0.15,98.0,0.0,98.0,98.0,0.0,0.0,67.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.422999999999999,20.016,23.232,0.0,15.0,1 tbsp,0.0,0,0.0,кунжутное масло,cluster 6
кунжутное масло,sesame butter,3.05,595,17.0,53.76,5.0,21.19,9.3,0.49,426.0,8.95,95.0,732.0,414.0,115.0,4.62,1.61,1.456,34.4,0.0,1.22,0.473,5.45,0.693,0.149,98.0,0.0,98.0,98.0,25.8,0.0,67.0,3.0,0.0,0.0,40.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,7.529,20.302,23.564,0.0,15.0,1 tbsp,28.35,1 oz,0.0,кунжутное масло,cluster 6
"кунжутное масло,паста","sesame butter,paste",1.6,586,18.08,50.87,5.4,24.05,5.5,0.0,960.0,19.2,362.0,659.0,582.0,12.0,7.29,4.214,2.54,35.5,0.0,0.24,0.2,6.7,0.052000000000000005,0.816,100.0,0.0,100.0,100.0,0.0,0.0,50.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.124,19.209,22.296,0.0,16.0,1 tbsp,0.0,0,0.0,кунжутное масло,cluster 6
"курица,скн (горени и бедра),сырья","chicken,skn (drumsticks & thighs),raw",44.91,440,9.58,44.23,0.49,0.79,0.0,0.0,6.0,0.37,8.0,95.0,119.0,51.0,0.65,0.038,0.014,10.1,0.0,0.04,0.032,2.565,0.61,0.116,2.0,0.0,2.0,2.0,28.3,0.65,196.0,59.0,59.0,0.0,0.0,1.0,0.0,103.0,0.27,0.2,6.0,0.4,12.102,18.975,9.056,105.0,28.35,1 oz,453.0,1 lb,0.0,куриная голень,cluster 17
"курица, скн (горени и бедра), с добавленным солнеком, ckd, brsd","chicken,skn (drumsticks & thighs),w/ added soln,ckd,brsd",46.96,403,12.26,38.94,0.84,1.0,0.0,0.0,14.0,0.65,12.0,112.0,146.0,139.0,0.63,0.029,0.016,15.6,0.0,0.05,0.04,3.3,0.0,0.14400000000000002,2.0,0.0,2.0,2.0,36.2,0.27,147.0,44.0,44.0,0.0,0.0,0.0,0.0,0.0,0.18,0.1,3.0,0.4,10.605,17.201,7.994,124.0,28.35,1 oz,0.0,0,0.0,куриная голень,cluster 17
"курица, скн (горени и бедра), с добавлением раствора, сырья","chicken,skn (drumsticks & thighs),w/ added soln,raw",50.37,386,11.11,37.9,0.6,0.01,0.0,0.0,7.0,0.51,7.0,88.0,101.0,139.0,0.62,0.03,0.006,10.8,0.0,0.035,0.06,2.655,0.0,0.113,2.0,0.0,2.0,2.0,28.9,0.68,186.0,56.0,56.0,0.0,0.0,0.0,0.0,0.0,0.44,0.4,14.0,0.0,10.565,17.099,8.195,113.0,28.35,1 oz,0.0,0,0.0,куриная голень,cluster 17
"курица,скн (горени и бедра),ckd,rstd","chicken,skn (drumsticks & thighs),ckd,rstd",39.45,462,16.57,43.99,0.72,0.0,0.0,0.0,10.0,0.9,16.0,151.0,181.0,85.0,0.86,0.045,0.02,17.4,0.0,0.052000000000000005,0.062,3.917,0.9,0.197,3.0,0.0,3.0,3.0,48.9,0.5,181.0,54.0,54.0,0.0,0.0,1.0,0.0,91.0,0.23,0.2,6.0,0.5,12.146,19.185,8.787,132.0,28.35,1 oz,453.0,1 lb,0.0,куриная голень,cluster 17
"курица,скн (горени и бедра),с добавленным солнеком,ckd,rstd","chicken,skn (drumsticks & thighs),w/ added soln,ckd,rstd",40.73,421,20.31,37.6,0.91,0.44,0.0,0.0,15.0,1.17,18.0,176.0,198.0,162.0,1.51,0.068,0.013,20.0,0.0,0.057,0.125,4.045,0.0,0.185,3.0,0.0,3.0,3.0,49.6,0.56,176.0,53.0,53.0,0.0,0.0,0.0,0.0,0.0,0.45,0.1,6.0,0.5,11.0,17.5,9.0,154.0,28.35,1 oz,0.0,0,0.0,куриная голень,cluster 17
"курица,скн (горени и бедра),ckd,brsd","chicken,skn (drumsticks & thighs),ckd,brsd",42.09,443,14.61,42.76,0.63,0.0,0.0,0.0,9.0,1.0,14.0,130.0,161.0,75.0,0.74,0.04,0.018000000000000002,16.0,0.0,0.05,0.055,3.4,0.79,0.179,3.0,0.0,3.0,3.0,43.1,0.45,161.0,48.0,48.0,0.0,0.0,1.0,0.0,101.0,0.19,0.1,4.0,0.4,11.914,18.697,8.615,130.0,28.35,1 oz,453.0,1 lb,0.0,куриная голень,cluster 17
куриная грудка,chicken breast tenders,51.34,252,16.35,12.89,1.87,17.56,0.0,0.0,14.0,1.0,26.0,216.0,225.0,446.0,0.77,0.316,0.235,30.6,0.0,0.324,0.098,6.5139999999999985,0.994,0.037000000000000005,12.0,0.0,12.0,12.0,40.8,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,4.2,3.2,5.71,2.79,45.0,15.0,1 piece,62.0,4 pieces,0.0,куриная грудка,cluster 17
"куриная грудка, дели, вертел с приправами, нарезка, в упаковке","chicken breast,deli,rotisserie seasoned,sliced,prepackaged",74.47,98,17.4,1.86,3.34,2.92,0.0,0.75,11.0,0.39,26.0,257.0,360.0,1032.0,0.51,0.02,0.018000000000000002,13.2,0.0,0.048,0.071,9.055,0.976,0.445,7.0,0.0,7.0,7.0,44.2,0.14,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.32,0.1,2.0,0.0,0.564,0.74,0.452,51.0,12.0,1 slice,0.0,0,0.0,куриная грудка,cluster 17
"куриная грудка нежная, в панеции, unckd","chicken breast tenders,breaded,unckd",52.74,263,14.73,15.75,1.77,15.01,1.1,0.37,19.0,1.11,23.0,211.0,214.0,536.0,0.78,0.205,0.229,24.7,0.8,0.211,0.091,5.71,0.855,0.041,12.0,0.0,12.0,12.0,96.4,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.2,9.0,14.7,3.26,6.48,3.34,41.0,15.0,1 piece,62.0,4 pieces,0.0,куриная грудка,cluster 17
"куриная грудка, в панеции, ckd, в микроволновой печи","chicken breast tenders,breaded,ckd,microwaved",51.34,252,16.35,12.89,1.87,17.56,0.0,0.0,14.0,1.0,26.0,216.0,225.0,446.0,0.77,0.316,0.235,30.6,0.0,0.324,0.098,6.5139999999999985,0.994,0.037000000000000005,12.0,0.0,12.0,12.0,40.8,0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.0,0.0,4.2,3.2,5.71,2.79,45.0,15.0,1 piece,62.0,4 pieces,0.0,куриная грудка,cluster 17
куриная грудка запеченная обжаренная обжаренная нарезанная,chicken breast  oven-roasted  fat-free  sliced,76.71,79,16.79,0.39,3.94,2.17,0.0,0.1,6.0,0.32,9.0,60.0,67.0,1087.0,0.3,0.034,0.043,7.6,0.0,0.018000000000000002,0.029,3.428,0.241,0.15,1.0,0.0,1.0,1.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.121,0.073,36.0,42.0,"1 serving,  2 slices",0.0,0,0.0,куриная грудка,cluster 17
"куриная грудка обезжиренная со вкусом меск, нарезанная",chicken breast  fat-free  mesq flavor  sliced,76.73,80,16.8,0.39,3.83,2.25,0.0,0.2,4.0,0.3,36.0,256.0,316.0,1040.0,0.6,0.23,0.034,6.1,0.0,0.014,0.023,2.742,0.193,0.12,1.0,0.0,1.0,1.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13,0.16,0.06,36.0,42.0,"1 serving,  2 slices",0.0,0,0.0,куриная грудка,cluster 17
куриная грудка,chicken breast,74.47,98,17.4,1.86,3.34,2.92,0.0,0.75,11.0,0.39,26.0,257.0,360.0,1032.0,0.51,0.02,0.018000000000000002,13.2,0.0,0.048,0.071,9.055,0.976,0.445,7.0,0.0,7.0,7.0,44.2,0.14,6.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.32,0.1,2.0,0.0,0.564,0.74,0.452,51.0,12.0,1 slice,0.0,0,0.0,куриная грудка,cluster 17
"курица, печень, все классы, ckd, simmrd","chicken,liver,all classes,ckd,simmrd",66.81,167,24.46,6.51,1.36,0.87,0.0,0.0,11.0,11.63,25.0,405.0,263.0,76.0,3.98,0.496,0.359,82.4,27.9,0.29100000000000004,1.993,11.045,6.6679999999999975,0.755,578.0,0.0,578.0,578.0,290.0,16.85,13328.0,3981.0,3978.0,11.0,30.0,11.0,21.0,83.0,0.82,0.0,0.0,0.0,2.06,1.416,1.988,563.0,44.0,1 liver,0.0,0,0.0,куриная печень,cluster 17
"курица, печень, все классы, сырье","chicken,liver,all classes,raw",76.46,119,16.92,4.83,1.06,0.73,0.0,0.0,8.0,8.99,19.0,297.0,230.0,71.0,2.67,0.4920000000000001,0.255,54.6,17.9,0.305,1.778,9.728,6.233,0.853,588.0,0.0,588.0,588.0,194.4,16.58,11078.0,3296.0,3290.0,11.0,56.0,11.0,40.0,0.0,0.7,0.0,0.0,0.0,1.5630000000000002,1.249,1.306,345.0,44.0,1 liver,0.0,0,0.0,куриная печень,cluster 17
"курица,печень,все классы,ckd,жареная","chicken,liver,all classes,ckd,pan-fried",65.22,172,25.78,6.43,1.47,1.11,0.0,0.0,10.0,12.88,27.0,442.0,315.0,92.0,4.01,0.535,0.375,88.2,2.7,0.292,2.313,13.925,8.315,0.84,560.0,0.0,560.0,560.0,326.8,21.13,14378.0,4296.0,4293.0,11.0,31.0,11.0,25.0,0.0,0.77,0.0,0.0,0.0,2.033,1.3869999999999998,1.265,564.0,44.0,1 liver,28.35,1 oz,0.0,куриная печень,cluster 17
"курица,сердце,все классы,ckd,simmrd","chicken,heart,all classes,ckd,simmrd",64.85,185,26.41,7.92,0.72,0.1,0.0,0.0,19.0,9.03,20.0,199.0,132.0,48.0,7.3,0.502,0.107,8.0,1.8,0.07,0.741,2.803,2.654,0.32,80.0,0.0,80.0,80.0,0.0,7.29,28.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.26,2.01,2.3,242.0,145.0,"1 cup, chopped or diced",1.0,"1 unit,  (yield from 1 lb ready0to0cook chicken)",0.0,куриное сердце,cluster 17
"курица,сердце,все сорта,сырье","chicken,heart,all classes,raw",73.56,153,15.55,9.33,0.85,0.71,0.0,0.0,12.0,5.96,15.0,177.0,176.0,74.0,6.59,0.34600000000000003,0.08900000000000001,4.3,3.2,0.152,0.728,4.883,2.559,0.36,72.0,0.0,72.0,72.0,0.0,7.29,30.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.66,2.37,2.71,136.0,6.1,1 heart,1.8,"1 unit,  (yield from 1 lb ready0to0cook chicken)",0.0,куриное сердце,cluster 17
"курица,бедра,frz,в панере,rehtd","chicken,thighs,frz,breaded,rehtd",41.63,334,18.66,22.45,3.03,14.23,0.1,0.0,75.0,1.26,31.0,190.0,279.0,813.0,1.39,0.119,0.28800000000000003,25.7,0.0,0.15,0.29,4.263,1.15,0.14,20.0,0.0,0.0,0.0,0.0,0.54,125.0,37.0,37.0,0.0,0.0,0.0,0.0,0.0,1.19,0.0,0.0,0.0,5.207000000000002,10.123,4.813,87.0,133.0,"1 thigh, with bone and breading",0.0,0,0.0,куриные бедра,cluster 17
"курица,желудок,все классы,сырье","chicken,gizzard,all classes,raw",79.33,94,17.66,2.06,0.95,0.0,0.0,0.0,11.0,2.49,15.0,148.0,237.0,69.0,2.72,0.116,0.055,25.5,3.7,0.028,0.231,3.68,0.631,0.112,5.0,0.0,5.0,5.0,0.0,1.21,64.0,19.0,19.0,0.0,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.529,0.512,0.35700000000000004,240.0,28.35,1 oz,453.0,1 lb,0.0,куриные желудки,cluster 17
"курица,желудок,все классы,ckd,simmrd","chicken,gizzard,all classes,ckd,simmrd",67.93,154,30.39,2.68,0.89,0.0,0.0,0.0,17.0,3.19,3.0,189.0,179.0,56.0,4.42,0.161,0.07400000000000001,41.1,0.0,0.026,0.21,3.12,0.468,0.071,5.0,0.0,5.0,5.0,104.4,1.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.67,0.528,0.353,370.0,145.0,"1 cup, chopped or dice",0.0,0,11.0,куриные желудки,cluster 17
"курица,крыло,frz,глазированная,барбекю flav","chicken,wing,frz,glazed,barbecue flav",61.79,211,19.67,12.67,2.53,3.34,0.6,2.04,28.0,2.41,20.0,205.0,190.0,615.0,1.14,0.039,0.0,33.2,0.0,0.07400000000000001,0.242,5.5,0.545,0.142,10.0,0.0,10.0,10.0,0.0,0.4,58.0,17.0,17.0,0.0,0.0,0.0,0.0,0.0,0.36,0.0,0.0,0.0,3.321,5.766,2.359,126.0,29.0,1 piece,86.0,1 serving,33.0,куриные крылья,cluster 17
"курица,крыло,frz,глазированная,барбекю flav,htd (микроволновая печь)","chicken,wing,frz,glazed,barbecue flav,htd (microwave)",53.89,248,25.34,13.9,3.04,3.84,0.9,2.1,38.0,2.74,27.0,272.0,254.0,837.0,1.55,0.049,0.0,41.7,0.5,0.081,0.29600000000000004,7.1,0.711,0.21,12.0,0.0,12.0,12.0,0.0,0.48,68.0,20.0,20.0,0.0,0.0,0.0,0.0,0.0,0.38,0.0,0.0,0.0,3.655,6.2970000000000015,2.599,156.0,74.0,1 serving,0.0,0,33.0,куриные крылья,cluster 17
"курица, наггеты, белое мясо, предварительно, frz, не rehtd","chicken,nuggets,white meat,preckd,frz,not rehtd",51.9,261,14.36,15.42,2.09,16.24,0.7,1.27,38.0,1.43,35.0,213.0,281.0,538.0,0.75,0.139,0.46,17.0,0.0,0.106,0.055,6.7360000000000015,0.0,0.331,5.0,0.0,5.0,5.0,45.5,0.23,53.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,1.18,0.0,0.0,10.0,3.366,4.667,6.1679999999999975,34.0,82.0,1 serving,20.0,1 piece,0.0,куриные наггетсы,cluster 14
"курица, наггеты, дк и белое мясо, предварительно, frz, не rehtd","chicken,nuggets,dk & white meat,preckd,frz,not rehtd",52.36,268,12.02,17.31,2.23,16.09,1.6,0.72,47.0,0.95,25.0,165.0,206.0,540.0,0.78,0.1,0.311,17.0,0.4,0.087,0.147,3.275,0.628,0.221,35.0,0.0,5.0,5.0,45.5,0.49,135.0,16.0,11.0,0.0,48.0,25.0,0.0,85.0,1.92,0.3,10.0,10.0,3.5980000000000003,5.524,6.81,32.0,87.0,1 serving,18.0,1 piece,0.0,куриные наггетсы,cluster 14
"суп, swanson, bf бульон, нижняя na","soup,swanson,bf broth,lower na",98.0,6,1.2,0.08,0.5,0.21,0.0,0.2,2.0,0.04,1.0,10.0,23.0,180.0,0.32,0.009000000000000001,0.005,0.0,0.0,0.02,0.085,0.5,0.05,0.107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.012,0.002,0.0,213.0,1 cup,413.0,"1 can, 14.5 oz",0.0,куриный бульон,cluster 21
"суп, бульон курицы swanson 99% без жира","soup,swanson chick broth 99% fat free",98.1,4,0.54,0.17,1.05,0.14,0.0,0.15,4.0,0.14,1.0,11.0,30.0,409.0,0.02,0.019,0.011,2.2,0.0,0.006999999999999999,0.021,0.5579999999999999,0.12,0.014,1.0,0.0,1.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.0,"1 serving, 1 cup 8 oz",0.0,0,0.0,куриный бульон,cluster 21
